role,skills
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,REST API,HTML,CSS"
Java Full Stack Developer,"Java,Spring Boot,Hibernate,Angular,MySQL,REST API,Microservices,Maven"
Python Developer,"Python,Django,Flask,PostgreSQL,REST API,Pandas,NumPy"
Data Scientist,"Python,Machine Learning,Pandas,NumPy,SQL,TensorFlow,Statistics,Data Analysis,Scikit-learn"
DevOps Engineer,"Docker,Kubernetes,AWS,CI/CD,Jenkins,Terraform,Linux,Ansible,Git"
Frontend Developer,"JavaScript,React.js,HTML,CSS,TypeScript,Redux,Webpack,Responsive Design"
Backend Developer,"Node.js,Python,Java,SQL,REST API,MongoDB,PostgreSQL,Redis"
Mobile App Developer,"React Native,Flutter,iOS,Android,Swift,Kotlin,Mobile UI,REST API"
Machine Learning Engineer,"Python,TensorFlow,PyTorch,Machine Learning,Deep Learning,NLP,Computer Vision,Scikit-learn"
Cloud Architect,"AWS,Azure,GCP,Kubernetes,Docker,Terraform,Microservices,Cloud Security"
Data Engineer,"Python,SQL,Apache Spark,Airflow,ETL,Data Warehousing,Kafka,Hadoop"
QA Engineer,"Selenium,Test Automation,Manual Testing,API Testing,JIRA,Agile,Python,Java"
Android Developer,"Android,Kotlin,Java,Android Studio,REST API,SQLite,Firebase,Material Design"
iOS Developer,"iOS,Swift,Objective-C,Xcode,UIKit,SwiftUI,Core Data,REST API"
React Developer,"React.js,JavaScript,Redux,TypeScript,HTML,CSS,Webpack,Jest"
Angular Developer,"Angular,TypeScript,JavaScript,RxJS,HTML,CSS,NgRx,REST API"
Vue.js Developer,"Vue.js,JavaScript,Vuex,TypeScript,HTML,CSS,Nuxt.js,REST API"
.NET Developer,"C#,.NET Core,ASP.NET,SQL Server,Entity Framework,Azure,REST API,LINQ"
PHP Developer,"PHP,Laravel,MySQL,JavaScript,HTML,CSS,REST API,Composer"
Ruby Developer,"Ruby,Ruby on Rails,PostgreSQL,JavaScript,HTML,CSS,REST API,RSpec"
Go Developer,"Go,Golang,REST API,Docker,Kubernetes,PostgreSQL,Microservices,gRPC"
Rust Developer,"Rust,Systems Programming,WebAssembly,Cargo,Memory Safety,Concurrency"
Blockchain Developer,"Solidity,Ethereum,Smart Contracts,Web3.js,Blockchain,Cryptocurrency,DeFi"
AI Engineer,"Python,Deep Learning,NLP,Computer Vision,TensorFlow,PyTorch,LLM,Transformers"
Full Stack Developer,"JavaScript,React.js,Node.js,SQL,MongoDB,HTML,CSS,REST API,Git"
System Administrator,"Linux,Windows Server,Networking,Shell Scripting,Active Directory,VMware,Security"
Database Administrator,"SQL,PostgreSQL,MySQL,Oracle,Database Design,Performance Tuning,Backup Recovery"
Security Engineer,"Cybersecurity,Penetration Testing,Network Security,SIEM,Firewall,Encryption,Vulnerability Assessment"
Embedded Systems Engineer,"C,C++,Embedded Systems,RTOS,Microcontrollers,IoT,Assembly,Hardware Interfacing"
Game Developer,"Unity,C#,Unreal Engine,C++,Game Design,3D Modeling,Physics Engine,OpenGL"
